指标,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年
煤进口量(万吨),25555.0,27092.0,28210.0,29977.0,30361.0,32327.0,29320.0,47433.0,54262.0,
焦炭进口量(万吨),,1.0,9.0,52.0,298.0,133.0,51.0,,,
原油进口量(万吨),38101.0,41946.0,46189.0,50568.0,54201.0,51292.0,50823.0,56394.0,55323.0,57773.0
汽油进口量(万吨),21.0,2.0,45.0,33.0,48.0,36.0,2.0,,,
柴油进口量(万吨),92.0,75.0,71.0,119.0,119.0,76.0,44.0,,,
煤油进口量(万吨),352.0,376.0,413.0,367.0,266.0,157.0,114.0,,,
燃料油进口量(万吨),1174.0,1357.0,1666.0,1486.0,1253.0,1381.0,1304.0,,,
液化石油气进口量(万吨),1679.0,1922.0,1966.0,2109.0,2005.0,2478.0,2692.0,,,
其它石油制品进口量(万吨),2067.0,2396.0,2592.0,2288.0,2606.0,2629.0,2962.0,,,
天然气进口量(亿立方米),746.0,946.0,1246.0,1332.0,1397.0,1674.0,1507.0,1657.4,1816.9,1764.5
电力进口量(亿千瓦小时),62.0,64.0,57.0,49.0,48.0,59.0,71.0,,,
煤出口量(万吨),879.0,802.0,494.0,603.0,319.0,261.0,401.0,447.0,666.0,
焦炭出口量(万吨),1012.0,808.0,976.0,652.0,349.0,643.0,892.0,879.0,831.0,
原油出口量(万吨),294.0,486.0,263.0,81.0,164.0,261.0,205.0,,,
汽油出口量(万吨),969.0,1051.0,1288.0,1637.0,1600.0,1454.0,1257.0,,,
柴油出口量(万吨),1540.0,1719.0,1853.0,2138.0,1976.0,1721.0,1093.0,,,
煤油出口量(万吨),1310.0,1313.0,1467.0,1761.0,997.0,858.0,1095.0,,,
燃料油出口量(万吨),986.0,1109.0,1230.0,1118.0,1583.0,1961.0,1866.0,,,
液化石油气出口量(万吨),132.0,132.0,113.0,141.0,95.0,99.0,87.0,,,
其它石油制品出口量(万吨),367.0,338.0,400.0,375.0,323.0,360.0,345.0,,,
天然气出口量(亿立方米),34.0,35.0,34.0,36.0,52.0,55.0,58.0,,,
电力出口量(亿千瓦小时),189.0,195.0,209.0,217.0,218.0,202.0,201.0,,,
原油产量(万吨),,,,19101.0,19492.0,19898.0,20467.0,20891.0,21282.0,21605.0
