贸易伙伴名称,import_10k_tons,share_percent,price_rmb_per_kg,B1_geo,B2_channel,B3_economic,B4_stability,B5_new_energy,risk_score,risk_level,m_very_low,m_low,m_medium,m_high,m_very_high
伊拉克,6462.4950019,12.104327332998954,3.696622834025623,82.0,88.0,61.41248558016329,88.0,64.12224333977782,90.98947220232853,Very High,0.0,0.0,0.06594463419612101,0.31863712149133167,0.6154182443125472
刚果民主共和国,11.8412,0.022178703546133143,3.979801067459379,90.0,52.0,87.14019888412096,95.0,0.0,88.05936307916504,Very High,0.06678085687069624,0.0,0.14896586077189986,0.0319766970151632,0.7522765853422406
沙特阿拉伯,8075.9312027,15.126311860592656,3.8520937206472667,70.0,85.0,71.74146335033294,40.0,80.16048564173359,76.29355138959573,High,0.0,0.1175932970187455,0.1175932970187455,0.5973559454264852,0.1674574605360238
安哥拉,2975.5550186,5.573248711510495,3.765107355995437,68.0,45.0,71.46716932147848,62.0,29.460576323249015,70.58229740846626,High,0.001801158767488613,0.10635910387317982,0.26067692974273055,0.6232493234017316,0.00791348421486945
科威特,1902.1665497,3.5627797859310903,3.7860463615742868,65.0,85.0,67.47377836261313,35.0,18.79063824958515,68.43571067434216,High,0.03742853913331556,0.20574226326549894,0.17858253966186338,0.45410844062940553,0.12413821730991656
阿联酋,3750.9013706,7.025481330382215,4.001433327664156,62.0,82.0,82.4,30.0,37.167848947445535,68.32670235497437,High,0.0,0.2780336961766807,0.19379005400277688,0.3619836857156853,0.1661925641048571
卡塔尔,724.9606079,1.3578595417051114,3.956451825994448,66.0,84.0,79.74865714638503,28.0,7.088710324248611,67.78562374323872,High,0.09029951627444532,0.21166793463374192,0.08492814963563515,0.44466064456778653,0.16844375488839103
阿曼,3535.2073816,6.621484012651418,3.94268585954686,60.0,72.0,76.29242140150366,32.0,35.02375892582453,65.49058362717456,High,0.0,0.26167424521551963,0.2526135797817555,0.43522092343120145,0.0504912515715233
俄罗斯,10071.7727712,18.864546032197804,3.539934762572297,55.0,42.0,34.590115592872905,58.0,100.0,63.689461172447615,Medium,0.0,0.14932347977855204,0.5836608386912113,0.20023482465954034,0.06678085687069624
厄瓜多尔,816.9345976,1.5301278803457394,3.3489937830244734,62.0,44.0,43.53958680298107,58.0,8.002970913886289,62.61592995503614,Medium,0.06678085687069624,0.0845008750287023,0.49985918157869946,0.3488590865219019,0.0
哥伦比亚,829.7622393,1.5541542005210862,3.2194507154888314,58.0,42.0,32.0,55.0,8.130483130139563,58.63594849513843,Medium,0.06678085687069624,0.16329380928232884,0.5412723860663318,0.22865294778064307,0.0
巴西,4707.5330375,8.817263425357242,3.6563602376842588,40.0,38.0,64.72321512469667,45.0,46.677174732907986,53.95780167915017,Medium,0.0,0.3815226523747941,0.539064611292903,0.07941273633230292,0.0
马来西亚,6441.1626019,12.064371502886505,3.4502373664103043,45.0,50.0,26.507809406104496,35.0,63.91019020751726,52.74373102400892,Medium,0.018835859457761304,0.37158845094864906,0.563128968528971,0.04644672106461853,0.0
印度尼西亚,1451.0134452,2.717764841616061,3.315201265993066,48.0,48.0,18.546752908319142,40.0,14.305984439497813,50.691147202605855,Medium,0.1141784710207108,0.23708569782828554,0.6487358311510036,0.0,0.0
加拿大,1632.7186828,3.0581008377575065,3.2561484017459668,25.0,35.0,35.615741860682775,20.0,16.112211811065563,36.03087357498559,Low,0.27012540382807826,0.6582055135945636,0.07166908257735805,0.0,0.0
