scenario,scenario_desc,country,baseline_import_10k_tons,optimized_regular_10k_tons,optimized_emergency_10k_tons,optimized_import_10k_tons,delta_10k_tons,share_percent,risk_score,price_rmb_per_kg
S0,常态对照,俄罗斯,10071.7727712,11476.512,0.0,11476.512,1404.739228800001,18.78977866767919,63.689461172447615,3.539934762572297
S0,常态对照,沙特阿拉伯,8075.9312027,7705.2569,0.0,7705.2569,-370.6743026999993,12.615337458681514,76.29355138959573,3.8520937206472667
S0,常态对照,马来西亚,6441.1626019,7196.0561,0.0,7196.0561,754.8934981000002,11.78165468734775,52.74373102400892,3.4502373664103043
S0,常态对照,巴西,4707.5330375,6355.1696,0.0,6355.1696,1647.6365624999999,10.404923567331545,53.95780167915017,3.6563602376842588
S0,常态对照,阿联酋,3750.9013706,5063.7169,0.0,5063.7169,1312.8155294000003,8.290508456470626,68.32670235497437,4.001433327664156
S0,常态对照,阿曼,3535.2073816,4772.53,0.0,4772.53,1237.3226183999996,7.813766271917719,65.49058362717456,3.94268585954686
S0,常态对照,科威特,1902.1665497,2567.9248,0.0,2567.9248,665.7582502999999,4.204303417906447,68.43571067434216,3.7860463615742868
S0,常态对照,加拿大,1632.7186828,2204.1702,130.61749,2334.78769,702.0690072000002,3.822602540834879,36.03087357498559,3.2561484017459668
S0,常态对照,安哥拉,2975.5550186,2258.0759,0.0,2258.0759,-717.4791186000002,3.6970071024907645,70.58229740846626,3.765107355995437
S0,常态对照,印度尼西亚,1451.0134452,1958.8682,0.0,1958.8682,507.8547547999999,3.2071329614045743,50.691147202605855,3.315201265993066
S0,常态对照,哥伦比亚,829.7622393,1120.179,0.0,1120.179,290.41676070000005,1.8339993438931803,58.63594849513843,3.2194507154888314
S0,常态对照,厄瓜多尔,816.9345976,1102.8617,0.0,1102.8617,285.92710239999997,1.8056468066308304,62.61592995503614,3.3489937830244734
S0,常态对照,卡塔尔,724.9606079,978.69682,0.0,978.69682,253.7362121,1.6023593780550622,67.78562374323872,3.956451825994448
S0,常态对照,伊拉克,6462.4950019,80.0,0.0,80.0,-6382.4950019,0.13097901988115687,90.98947220232851,3.696622834025623
S0,常态对照,刚果民主共和国,11.8412,0.0,0.0,0.0,-11.8412,0.0,88.05936307916504,3.979801067459379
S1,霍尔木兹海峡封锁,俄罗斯,10071.7727712,12215.697,0.0,12215.697,2143.9242288000005,20.000000252814853,63.689461172447615,3.539934762572297
S1,霍尔木兹海峡封锁,马来西亚,6441.1626019,8695.5695,1477.9315,10173.501,3732.3383981000006,16.656439871749615,52.74373102400892,3.4502373664103043
S1,霍尔木兹海峡封锁,巴西,4707.5330375,6355.1696,2118.3899,8473.5595,3766.026462499999,13.873231477683317,53.95780167915017,3.6563602376842588
